provider,country,asn,asn_org,ip_count,prefix_count,hosting_ip_count,exit_node_count,avg_confidence
Sentinel dVPN,ID,140443,IDNIC-HERZA-AS-ID PT Herza Digital Indonesia,1,1,1,1,95.0
Sentinel dVPN,IL,44709,CLOUDWEBMANAGE-,1,1,1,1,95.0
Sentinel dVPN,IN,152565,JOYSVC-AS-IN JOY SERVICES,1,1,1,1,95.0
Sentinel dVPN,IS,44925,THE-1984-AS,1,1,1,1,95.0
Sentinel dVPN,IS,50613,THORDC-AS,1,1,1,1,95.0
Sentinel dVPN,IT,213791,XENIAHOSTING,1,1,1,1,95.0
Sentinel dVPN,IT,30722,VODAFONE-IT-ASN,1,1,1,1,95.0
Sentinel dVPN,JM,33576,DIG001,1,1,1,1,95.0
Sentinel dVPN,JO,9038,BAT-AS9038,1,1,1,1,95.0
Sentinel dVPN,MY,137552,TTSB-AS-AP Terabix,1,1,1,1,95.0
Sentinel dVPN,MY,149440,EVOXTENTERPRISE-AS-AP Evoxt Enterprise,1,1,1,1,95.0
Sentinel dVPN,MY,154376,CLOUDVALLEY-AS-AP Cloudvalley Sdn. Bhd.,1,1,1,1,95.0
Sentinel dVPN,NL,210429,HIZAKURA-,1,1,1,1,95.0
Sentinel dVPN,NL,214668,AXUSHOST,1,1,1,1,95.0
Sentinel dVPN,NL,214970,STREADER,1,1,1,1,95.0
Sentinel dVPN,NL,33915,TNF-AS,1,1,1,1,95.0
Sentinel dVPN,NL,57043,HOSTKEY-AS,1,1,1,1,95.0
Sentinel dVPN,NL,57717,FBX-AS,1,1,1,1,95.0
Sentinel dVPN,NZ,9790,TWO-DEGREES-AS-AP Two Degrees Networks Limited,1,1,1,1,95.0
Sentinel dVPN,PL,5617,TPNET,1,1,1,1,95.0
Sentinel dVPN,PT,209874,TECHTIDE,1,1,1,1,95.0
Sentinel dVPN,PT,24768,ALMOUROLTEC,1,1,1,1,95.0
Sentinel dVPN,RO,39347,SELL-AS Orasul Navodari - Primaria Navodari,1,1,1,1,95.0
Sentinel dVPN,RO,8708,RCS-RDS 73-75 Dr. Staicovici,1,1,1,1,95.0
Sentinel dVPN,SC,213438,COLOCATEL-INC Colocatel Network - High Bandwidth Dedicated Servers,1,1,1,1,95.0
Sentinel dVPN,SE,214640,HOSTUP HOSTUP,1,1,1,1,95.0
Sentinel dVPN,SE,49770,INTERNETPORT-AS,1,1,1,1,95.0
Sentinel dVPN,SE,8434,TELENOR-SE Telenor Sverige AB,1,1,1,1,95.0
Sentinel dVPN,TH,9931,"CAT-AP The Communication Authoity of Thailand, CAT",1,1,1,1,95.0
Sentinel dVPN,TR,12735,ASTURKNET,1,1,1,1,95.0
Sentinel dVPN,TR,62425,KUZEYDC,1,1,1,1,95.0
Sentinel dVPN,UA,42655,BESTHOSTING-AS,1,1,1,1,95.0
Sentinel dVPN,UA,48031,XSERVERCLOUD,1,1,1,1,95.0
Sentinel dVPN,US,14061,DIGITALOCEAN-ASN,1,1,1,1,95.0
Sentinel dVPN,US,14956,ROUTERHOSTING,1,1,1,1,95.0
Sentinel dVPN,US,174,COGENT-174,1,1,1,1,95.0
Sentinel dVPN,US,19318,IS-AS-1,1,1,1,1,95.0
Sentinel dVPN,US,214483,FIBERPOWER-AS,1,1,1,1,95.0
Sentinel dVPN,US,36530,FUTURE-LAIN,1,1,1,1,95.0
Sentinel dVPN,US,44382,WHITELABEL,1,1,1,1,95.0
Sentinel dVPN,US,46844,SHARKTECH,1,1,1,1,95.0
Sentinel dVPN,US,63023,AS-GLOBALTELEHOST,1,1,1,1,95.0
Sentinel dVPN,US,701,UUNET,1,1,1,1,95.0
Sentinel dVPN,US,7018,ATT-INTERNET4,1,1,1,1,95.0
Sentinel dVPN,VN,18403,FPT-AS-AP FPT Telecom Company,1,1,1,1,95.0
Sentinel dVPN,ZA,328364,Host-Africa-AS,1,1,1,1,95.0
Sentinel dVPN,ZA,37153,xneelo,1,1,1,1,95.0
SlickVPN,AT,57169,EDIS-AS-EU,1,1,1,1,88.0
SlickVPN,SG,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,1,1,1,1,88.0
SlickVPN,US,10297,ENET-2,1,1,1,1,88.0
SlickVPN,US,23470,RELIABLESITE,1,1,1,1,88.0
SlickVPN,US,33083,AXCELX-NET,1,1,1,1,88.0
SlickVPN,US,33387,NOCIX,1,1,1,1,88.0
SlickVPN,US,40156,THEOPT-HOU,1,1,1,1,88.0
SlickVPN,US,46261,QUICKPACKET,1,1,1,1,88.0
SlickVPN,US,6428,CDM,1,1,1,1,88.0
SmartVPN,CH,29691,NINE,1,1,1,1,88.0
SmartVPN,ES,39020,COMVIVE-AS Seville - Spain,1,1,1,1,88.0
SmartVPN,FR,12876,Online SAS,1,1,1,1,88.0
SmartVPN,IL,61102,INTERHOST,1,1,1,1,88.0
SmartVPN,SE,42708,GLESYS glesys.com,1,1,1,1,88.0
SmartVPN,SI,48894,OPTIMUS-AS,1,1,1,1,88.0
Smartdnsproxy,AT,57169,EDIS-AS-EU,1,1,1,1,78.0
Smartdnsproxy,CA,32489,AMANAHA-NEW,1,1,1,1,78.0
Smartdnsproxy,DK,30736,ASERGO-AS,1,1,1,1,78.0
Smartdnsproxy,GB,20860,IOMART-AS,1,1,1,1,78.0
Smartdnsproxy,GB,212238,CDNEXT,1,1,1,1,78.0
Smartdnsproxy,GR,47521,IPHOST .GR IpDomain,1,1,1,1,78.0
Smartdnsproxy,IT,49367,ASSEFLOW,1,1,1,1,78.0
Smartdnsproxy,NO,34989,SERVETHEWORLD-AS,1,1,1,1,78.0
Smartdnsproxy,PA,51852,PLI-AS,1,1,1,1,78.0
Smartdnsproxy,SE,42708,GLESYS glesys.com,1,1,1,1,78.0
Smartdnsproxy,TR,49334,SH-COM-,1,1,1,1,78.0
Smartdnsproxy,US,40676,AS40676 - Psychz Networks,1,1,1,1,78.0
Smartdnsproxy,US,6364,ATLANTIC-NET-1,1,1,1,1,78.0
SotaVPN,LV,42532,VEESP-LV-AS,1,1,1,1,95.0
SotaVPN,NL,60404,LITESERVER,1,1,1,1,95.0
StrongVPN,FI,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,1,1,1,1,80.0
StrongVPN,US,396356,LATITUDE-SH,1,1,1,1,95.0
StrongVPN,US,46562,PERFORMIVE,1,1,1,1,80.0
Surfshark,AT,212238,CDNEXT,1,1,1,1,95.0
Surfshark,AU,212238,CDNEXT,1,1,1,1,95.0
Surfshark,BG,212238,CDNEXT,1,1,1,1,95.0
Surfshark,BG,9009,M247,1,1,1,1,95.0
Surfshark,BR,203020,HOSTROYALE,1,1,1,1,95.0
Surfshark,BR,9009,M247,1,1,1,1,95.0
Surfshark,CA,209854,CYBERZONEHUB,1,1,1,1,95.0
Surfshark,CA,9009,M247,1,1,1,1,95.0
Surfshark,CH,25369,BANDWIDTH-AS,1,1,1,1,95.0
Surfshark,CH,60068,CDN77 _,1,1,1,1,95.0
Surfshark,CZ,60068,CDN77 _,1,1,1,1,95.0
Surfshark,CZ,9009,M247,1,1,1,1,95.0
Surfshark,DE,212238,CDNEXT,1,1,1,1,95.0
Surfshark,DE,9009,M247,1,1,1,1,95.0
Surfshark,ES,209854,CYBERZONEHUB,1,1,1,1,95.0
Surfshark,FR,203020,HOSTROYALE,1,1,1,1,95.0
Surfshark,FR,212238,CDNEXT,1,1,1,1,95.0
Surfshark,HK,209854,CYBERZONEHUB,1,1,1,1,95.0
Surfshark,HK,212238,CDNEXT,1,1,1,1,95.0
Surfshark,IE,212238,CDNEXT,1,1,1,1,95.0
Surfshark,IE,9009,M247,1,1,1,1,95.0
Surfshark,JP,212238,CDNEXT,1,1,1,1,95.0
Surfshark,JP,60068,CDN77 _,1,1,1,1,95.0
Surfshark,KR,209854,CYBERZONEHUB,1,1,1,1,95.0
Surfshark,KR,45382,EHOSTIDC-AS-KR Hostcenter,1,1,1,1,95.0
Surfshark,LK,209854,CYBERZONEHUB,1,1,1,1,95.0
Surfshark,MX,212238,CDNEXT,1,1,1,1,95.0
Surfshark,MX,396356,LATITUDE-SH,1,1,1,1,95.0
Surfshark,MY,209854,CYBERZONEHUB,1,1,1,1,95.0
Surfshark,MY,212238,CDNEXT,1,1,1,1,95.0
Surfshark,NL,25369,BANDWIDTH-AS,1,1,1,1,95.0
Surfshark,NL,9009,M247,1,1,1,1,95.0
Surfshark,PT,203020,HOSTROYALE,1,1,1,1,95.0
Surfshark,PT,212238,CDNEXT,1,1,1,1,95.0
Surfshark,RO,212238,CDNEXT,1,1,1,1,95.0
Surfshark,SG,212238,CDNEXT,1,1,1,1,95.0
Surfshark,SG,60068,CDN77 _,1,1,1,1,95.0
Surfshark,UK,62240,CLOUVIDER Clouvider - Global ASN,1,1,1,1,95.0
Surfshark,US,20278,NEXEON,1,1,1,1,95.0
Surfshark,US,207990,HR-CUSTOMER,1,1,1,1,95.0
Surfshark,US,36352,AS-COLOCROSSING,1,1,1,1,95.0
SwitchVPN,AT,57169,EDIS-AS-EU,1,1,1,1,88.0
SwitchVPN,BE,42160,LCPDCO LCP AS dc oostkamp,1,1,1,1,88.0
SwitchVPN,CH,15547,NETPLUS,1,1,1,1,88.0
SwitchVPN,CZ,24806,"INTERNET-CZ Ktis 2, 384 03 Ktis",1,1,1,1,88.0
SwitchVPN,FR,16276,OVH,1,1,1,1,88.0
SwitchVPN,GB,42237,W1N,1,1,1,1,88.0
SwitchVPN,IN,203020,HOSTROYALE,1,1,1,1,88.0
SwitchVPN,KR,45382,EHOSTIDC-AS-KR Hostcenter,1,1,1,1,88.0
SwitchVPN,MY,55720,GIGABIT-MY Gigabit Hosting Sdn Bhd,1,1,1,1,88.0
SwitchVPN,NO,50304,BLIX,1,1,1,1,88.0
SwitchVPN,SG,138199,TRANSATEL1-AS-AP Transatel,1,1,1,1,88.0
SwitchVPN,US,36352,AS-COLOCROSSING,1,1,1,1,88.0
SwitchVPN,US,53755,IOFLOOD,1,1,1,1,88.0
SwitchVPN,US,61317,ASDETUK www.heficed.com,1,1,1,1,88.0
SwitchVPN,US,7979,SERVERS-COM,1,1,1,1,88.0
Trust.Zone,AL,197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing",1,1,1,1,70.0
Trust.Zone,AU,133480,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,1,1,1,1,70.0
Trust.Zone,IL,206446,CLOUDLEASE,1,1,1,1,70.0
Trust.Zone,PL,197155,ARTNET,1,1,1,1,70.0
Trust.Zone,SC,206264,AMARUTU-TECHNOLOGY,1,1,1,1,70.0
Trust.Zone,TR,42926,RADORE,1,1,1,1,70.0
Trust.Zone,UA,3236,SERVER server.ua,1,1,1,1,70.0
Trust.Zone,UA,6698,VIRTUALSYSTEMS,1,1,1,1,70.0
Trust.Zone,US,14061,DIGITALOCEAN-ASN,1,1,1,1,70.0
Trust.Zone,US,50979,ITL-LV,1,1,1,1,70.0
Trust.Zone,US,61317,ASDETUK www.heficed.com,1,1,1,1,70.0
TunnelBear,CA,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",1,1,1,1,95.0
TunnelBear,IT,49367,ASSEFLOW,1,1,1,1,95.0
VPN Gate,EU,1257,TELE2,1,1,1,1,78.0
VPN Gate,JP,17506,UCOM ARTERIA Networks Corporation,1,1,1,1,78.0
VPN Gate,JP,17511,OPTAGE OPTAGE Inc.,1,1,1,1,78.0
VPN Gate,JP,23778,"CANET IMIZU CABLE NETWORK CO.,LTD.",1,1,1,1,78.0
VPN Gate,JP,2497,IIJ Internet Initiative Japan Inc.,1,1,1,1,78.0
VPN Gate,JP,9605,"DOCOMO NTT DOCOMO, INC.",1,1,1,1,78.0
VPN Gate,KR,10066,GAYANET-AS-KR LG HelloVision Corp.,1,1,1,1,78.0
VPN Gate,KR,17583,KCNNET-AS-KR Keumgang Cable Network,1,1,1,1,78.0
VPN Gate,KR,17858,POWERVIS-AS-KR LG POWERCOMM,1,1,1,1,78.0
VPN Gate,KR,17864,SKB-TBROAD_HANVIT-AS-KR SK Broadband Co Ltd,1,1,1,1,78.0
VPN Gate,KR,23578,SKB-NAMDONGNET-AS-KR SK Broadband Co Ltd,1,1,1,1,78.0
VPN Gate,KR,38673,KCTVNET-AS-KR Korea Cable TV Kwangju Broadcasting,1,1,1,1,78.0
VPN Gate,KR,38680,CMBHK-AS-KR CMB,1,1,1,1,78.0
VPN Gate,LA,131267,UNITEL-LA Star Telecom,1,1,1,1,78.0
VPN Gate,RO,9009,M247,1,1,1,1,78.0
VPN Gate,RU,12389,ROSTELECOM-AS PJSC Rostelecom. Technical Team,1,1,1,1,78.0
VPN Gate,RU,41349,MVMTECH-AS,1,1,1,1,78.0
VPN Gate,RU,8749,"REDCOM-AS Redcom, Khabarovsk, Russia",1,1,1,1,78.0
VPN Gate,TH,23969,TOT-NET TOT Public Company Limited,1,1,1,1,78.0
VPN Gate,UA,59478,IPSERVICE-AS,1,1,1,1,78.0
VPN Gate,US,11232,MIDCO-NET,1,1,1,1,78.0
VPN Gate,VN,7552,VIETEL-AS-AP Viettel Group,1,1,1,1,78.0
VPN Jantit,BG,59711,HZ-EU-AS,1,1,1,1,88.0
VPN Jantit,CN,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",1,1,1,1,88.0
VPN Jantit,EE,42474,IL,1,1,1,1,88.0
VPN Jantit,EE,62212,AS62212,1,1,1,1,88.0
VPN Jantit,FR,12876,Online SAS,1,1,1,1,88.0
VPN Jantit,GB,207569,I-SERVERS-NORTH-EU to AS51765 announce AS207569,1,1,1,1,88.0
VPN Jantit,GB,49683,MASSIVEGRID,1,1,1,1,88.0
VPN Jantit,HU,56322,SERVERASTRA-AS,1,1,1,1,88.0
VPN Jantit,LU,202422,GHOST,1,1,1,1,88.0
VPN Jantit,MD,56380,AS-ITFRUIT,1,1,1,1,88.0
VPN Jantit,RO,41111,AS-GEOHOSTING,1,1,1,1,88.0
VPN Jantit,SG,59364,VHOST-HOLDINGS-SG vHost Holdings Pte Ltd,1,1,1,1,88.0
VPN Jantit,TH,9335,CAT-CLOUD-AP CAT Telecom Public Company Limited,1,1,1,1,88.0
VPN Jantit,TR,203576,INTERNETBILISIM,1,1,1,1,88.0
VPN Jantit,US,21100,ITLDC-EU,1,1,1,1,88.0
VPN Jantit,US,216475,NKTELECOM,1,1,1,1,88.0
VPN Jantit,US,36352,AS-COLOCROSSING,1,1,1,1,88.0
VPN Jantit,US,53667,PONYNET,1,1,1,1,88.0
VPN Jantit,US,8254,ROUTE95,1,1,1,1,88.0
VPN Jantit,ZA,328364,Host-Africa-AS,1,1,1,1,88.0
VPN Jantit,ZA,329184,Host-Africa-AS2,1,1,1,1,88.0
VPN Unlimited,UA,48031,XSERVERCLOUD,1,1,1,1,70.0
VPN Unlimited,US,174,COGENT-174,1,1,1,1,70.0
VPN Unlimited,US,27323,SERVERSTADIUM,1,1,1,1,70.0
VPN Unlimited,US,7203,LEASEWEB-USA-SFO,1,1,1,1,70.0
VPN Unlimited,ZA,37153,xneelo,1,1,1,1,70.0
VPN.ac,DE,30083,AS-30083-US-VELIA-NET,1,1,1,1,95.0
VPN.ac,GB,13213,UK2NET-AS,1,1,1,1,95.0
VPN.ac,GB,205544,LEASEWEB-UK-LON-11,1,1,1,1,95.0
VPN.ac,IT,0,,1,1,1,1,95.0
VPN.ac,LT,16125,CHERRYSERVERS1-AS,1,1,1,1,95.0
VPN.ac,NO,34989,SERVETHEWORLD-AS,1,1,1,1,95.0
VPN.ac,PA,51852,PLI-AS,1,1,1,1,95.0
VPN.ac,PT,24768,ALMOUROLTEC,1,1,1,1,95.0
VPN.ac,US,30475,WEHOSTWEBSITES-COM,1,1,1,1,95.0
VPN.ac,US,61317,ASDETUK www.heficed.com,1,1,1,1,95.0
VPNObratno,RU,34533,ESAMARA-AS,1,1,1,1,88.0
VPNObratno,RU,41843,ERTH-OMSK-AS,1,1,1,1,88.0
VPNObratno,RU,48327,RAY-AS,1,1,1,1,88.0
VPNObratno,RU,59815,TRINITY-AS,1,1,1,1,88.0
VPNSecure,GB,199404,WHG-IN,1,1,1,1,88.0
VPNSecure,GB,215089,FASTPANDA,1,1,1,1,88.0
VPNSecure,GB,60800,NHL-AS1,1,1,1,1,88.0
VPNSecure,HK,133752,LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED,1,1,1,1,88.0
VPNSecure,IL,44709,CLOUDWEBMANAGE-,1,1,1,1,88.0
VPNSecure,LV,59615,SERVERUM-AS,1,1,1,1,88.0
VPNSecure,SE,8473,BAHNHOF,1,1,1,1,88.0
VPNSecure,US,210329,CLOUDWEBMANAGE-UK-1,1,1,1,1,88.0
VPNUK,DE,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,1,1,1,1,95.0
VPNUK,DE,28753,LEASEWEB-DE-FRA-10,1,1,1,1,70.0
VPNUK,ES,39020,COMVIVE-AS Seville - Spain,1,1,1,1,70.0
VPNUK,GB,21130,IOMART-IE,1,1,1,1,70.0
VPNUK,HK,133752,LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED,1,1,1,1,95.0
VPNUK,IE,30900,WEBWORLD-AS ta Web World Ireland,1,1,1,1,95.0
VPNUK,TR,206991,IXIR,1,1,1,1,95.0
VPNUK,US,0,,1,1,1,1,70.0
VPNUK,US,29802,HVC-AS,1,1,1,1,70.0
VPNUK,US,32097,WII,1,1,1,1,95.0
Vpnfacile,GB,41000,FREETHOUGHT-AS,1,1,1,1,78.0
Vpnfacile,US,5650,FRONTIER-FRTR,1,1,1,1,78.0
Vpnht,DK,30736,ASERGO-AS,1,1,1,1,78.0
Vpnht,JP,4694,IDCF IDC Frontier Inc.,1,1,1,1,78.0
Vpnht,KR,45382,EHOSTIDC-AS-KR Hostcenter,1,1,1,1,78.0
Vpnht,NL,49870,AS49870-BV,1,1,1,1,78.0
Vpnht,NL,50867,ORG-LVA15-AS,1,1,1,1,78.0
Vpnht,NL,60781,LEASEWEB-NL-AMS-01 Netherlands,1,1,1,1,78.0
Vpnht,US,61138,ZAPPIE-HOST-AS Zappie Host,1,1,1,1,78.0
WiTopia,EG,0,,1,1,1,1,95.0
WorldVPN,BE,209847,THE,1,1,1,1,88.0
WorldVPN,BR,209847,THE,1,1,1,1,88.0
WorldVPN,CA,16276,OVH,1,1,1,1,88.0
WorldVPN,CA,53363,TANGRAM-CANADA-INC,1,1,1,1,88.0
WorldVPN,CL,209847,THE,1,1,1,1,88.0
WorldVPN,CN,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",1,1,1,1,88.0
WorldVPN,ES,209847,THE,1,1,1,1,88.0
WorldVPN,GR,209847,THE,1,1,1,1,88.0
WorldVPN,IE,209847,THE,1,1,1,1,88.0
WorldVPN,IS,209847,THE,1,1,1,1,88.0
WorldVPN,JP,63473,HOSTHATCH,1,1,1,1,88.0
WorldVPN,LI,209847,THE,1,1,1,1,88.0
WorldVPN,LU,209847,THE,1,1,1,1,88.0
WorldVPN,MY,209847,THE,1,1,1,1,88.0
WorldVPN,NO,63473,HOSTHATCH,1,1,1,1,88.0
WorldVPN,PH,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",1,1,1,1,88.0
WorldVPN,PT,209847,THE,1,1,1,1,88.0
WorldVPN,RO,26383,ASNET,1,1,1,1,88.0
WorldVPN,TR,209847,THE,1,1,1,1,88.0
Zoogvpn,AM,12297,TELECOM-ARMENIA Telecom Armenia AS,1,1,1,1,78.0
Zoogvpn,AT,44133,IPAX-AS,1,1,1,1,78.0
Zoogvpn,BR,262287,Latitude.sh LTDA,1,1,1,1,78.0
Zoogvpn,CA,11831,ESECUREDATA,1,1,1,1,78.0
Zoogvpn,CA,55286,SERVER-MANIA,1,1,1,1,78.0
Zoogvpn,EE,202759,FAIRYHOSTING,1,1,1,1,78.0
Zoogvpn,FI,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,1,1,1,1,78.0
Zoogvpn,FR,12876,Online SAS,1,1,1,1,78.0
Zoogvpn,GB,207569,I-SERVERS-NORTH-EU to AS51765 announce AS207569,1,1,1,1,78.0
Zoogvpn,GE,47810,PROSERVICE,1,1,1,1,78.0
Zoogvpn,HK,154177,LIGHT4-AS-AP LIGHT NODE LIMITED,1,1,1,1,78.0
Zoogvpn,HU,56322,SERVERASTRA-AS,1,1,1,1,78.0
Zoogvpn,ID,23679,NUSANET-AS-ID PT. Media Antar Nusa,1,1,1,1,78.0
Zoogvpn,IL,35758,HQSERV_NETWORKS,1,1,1,1,78.0
Zoogvpn,IL,61102,INTERHOST,1,1,1,1,78.0
Zoogvpn,IT,49367,ASSEFLOW,1,1,1,1,78.0
Zoogvpn,KZ,211971,GOODHOSTKZ Goodhost.KZ - Hosting provider of Kazakhstan. Dedicated and VDSVPS hosting,1,1,1,1,78.0
Zoogvpn,LT,61272,IST-AS,1,1,1,1,78.0
Zoogvpn,LT,8849,MELBICOM-EU-AS Melbikomas UAB,1,1,1,1,78.0
Zoogvpn,LV,58061,SCALAXY-AS,1,1,1,1,78.0
Zoogvpn,MD,43289,TRABIA,1,1,1,1,78.0
Zoogvpn,NL,43350,NFORCE,1,1,1,1,78.0
Zoogvpn,NL,60404,LITESERVER,1,1,1,1,78.0
Zoogvpn,NZ,133950,HOOPLAHOSTING-AS-AP Hoopla Hosting Limited,1,1,1,1,78.0
Zoogvpn,TH,56067,METRABYTE-TH 453 Ladplacout Jorakhaebua,1,1,1,1,78.0
Zoogvpn,TR,197450,SUNUCUN,1,1,1,1,78.0
Zoogvpn,UA,6698,VIRTUALSYSTEMS,1,1,1,1,78.0
Zoogvpn,US,20473,AS-VULTR,1,1,1,1,78.0
Zoogvpn,US,212336,BYTEVIRTLLC,1,1,1,1,78.0
Zoogvpn,US,396356,LATITUDE-SH,1,1,1,1,78.0
Zoogvpn,US,906,DMIT,1,1,1,1,78.0
Zoogvpn,VN,140787,LAMA-AS-VN LAM A ARCHITECTURE CONSTRUCTION COMPANY LIMITED,1,1,1,1,78.0
Zoogvpn,ZA,37153,xneelo,1,1,1,1,78.0
uVPN,GB,20860,IOMART-AS,1,1,1,1,70.0
uVPN,GB,39326,HSO-GROUP,1,1,1,1,70.0
uVPN,LU,202422,GHOST,1,1,1,1,70.0
uVPN,US,20473,AS-VULTR,1,1,1,1,70.0
